paper_id,kind,title,status,analysis_csv,figure_file,notes
Figure 1,static,Motivating hierarchy example,static,,,
Figure 2,static,Task suite and developmental tags,static,,,
Figure 3,static,Pre-specified hierarchy relations,static,,,
Figure 4,figure,Text per-task accuracy,generated,tables/table_06_text_task_accuracy.csv,figures/figure_04_text_task_accuracy.png,
Figure 5,figure,5CQ wrong-answer preferences,generated,tables/figure_05_mcq5_wrong_answer_preferences.csv,figures/figure_05_mcq5_wrong_answer_preferences.png,
Figure 6,figure,Text difficulty controls,generated,tables/table_09_text_difficulty_bins.csv,figures/figure_06_text_difficulty_controls.png,
Figure 7,figure,Text summation mechanism,generated,tables/figure_07_text_summation_mechanism.csv,figures/figure_07_text_summation_mechanism.png,
Figure 8,static,MCQ option-grid examples,static,,,
Figure 9,static,Text human-study interface,static,,,
Figure 10,static,MCQ human-study interface,static,,,
Figure 11,static,Image-editing human-scoring interface,static,,,
Figure 12,static,Developmental-framework summary,static,,,
Figure 13,figure,Mental-rotation dependency correlations,generated,tables/figure_13_text_mental_rotation_correlations.csv,figures/figure_13_text_mental_rotation_correlations.png,
Figure 14,figure,Mental-rotation bundle versus counting mechanism,generated,tables/figure_14_text_bundle_correlations.csv,figures/figure_14_text_bundle_correlations.png,
Figure 15,figure,Mixed-CQ chance-adjusted task accuracy,generated,tables/figure_15_mcq345_task_accuracy.csv,figures/figure_15_mcq345_task_accuracy.png,
Figure 16,figure,Mixed-CQ wrong-answer preferences,generated,tables/figure_16_mcq345_wrong_answer_preferences.csv,figures/figure_16_mcq345_wrong_answer_preferences.png,
Figure 17,figure,Image-output per-task accuracy,generated,tables/table_08_image_task_accuracy.csv,figures/figure_17_image_task_accuracy.png,
Figure 18,figure,Text camera-parameter effects,generated,tables/figure_18_text_camera_effects.csv,figures/figure_18_text_camera_effects.png,
Figure 19,figure,Image-output difficulty controls,generated,tables/figure_19_image_difficulty_bins.csv,figures/figure_19_image_difficulty_controls.png,
Figure 20,figure,Text object-conditioned accuracy,generated,tables/figure_20_text_object_accuracy.csv,figures/figure_20_text_object_accuracy.png,
Figure 21,figure,Text object and difficulty slices,generated,tables/figure_21_text_object_difficulty_slices.csv,figures/figure_21_text_object_difficulty_slices.png,
Figure 22,figure,Text composition diagnostics,generated,tables/figure_22_text_composition_diagnostics.csv,figures/figure_22_text_composition_diagnostics.png,
Figure 23,figure,MCQ summation mechanism,generated,tables/figure_23_mcq345_summation_mechanism.csv,figures/figure_23_mcq345_summation_mechanism.png,
Figure 24,figure,Image-output summation mechanism,generated,tables/figure_24_image_summation_mechanism.csv,figures/figure_24_image_summation_mechanism.png,
Figure 25,figure,Trained-text per-task accuracy,generated,tables/figure_25_trained_text_task_accuracy.csv,figures/figure_25_trained_text_task_accuracy.png,
Figure 26,figure,Trained-text object-conditioned accuracy,generated,tables/figure_26_trained_text_object_accuracy.csv,figures/figure_26_trained_text_object_accuracy.png,
Figure 27,figure,Trained-text summation mechanism,generated,tables/figure_27_trained_text_summation_mechanism.csv,figures/figure_27_trained_text_summation_mechanism.png,
Figure 28,figure,Trained-text composition diagnostics,generated,tables/figure_28_trained_text_composition_diagnostics.csv,figures/figure_28_trained_text_composition_diagnostics.png,
Table 1,table,Text modality evaluative summary,generated,tables/table_01_text_summary.csv,,
Table 2,table,MCQ modality evaluative summary,generated,tables/table_02_mcq_summary.csv,,
Table 3,table,Image-editing modality evaluative summary,generated,tables/table_03_image_summary.csv,,
Table 4,table,Trained-checkpoint evaluative summary,generated,tables/table_04_trained_text_summary.csv,,
Table 5,table,Task-specific query text,generated,tables/table_05_task_queries.csv,,
Table 6,table,Text per-task accuracy,generated,tables/table_06_text_task_accuracy.csv,,
Table 7,table,5CQ per-task accuracy,generated,tables/table_07_mcq5_task_accuracy.csv,,
Table 8,table,Image-output per-task accuracy,generated,tables/table_08_image_task_accuracy.csv,,
Table 9,table,Text difficulty-bin accuracy,generated,tables/table_09_text_difficulty_bins.csv,,
Appendix F,table,Per-edge and joint within-scene lifts,generated,tables/tableF_within_scene_lift_text.csv,,
Appendix F,table,Joint relation integrity per responder,generated,tables/tableF_joint_integrity_text.csv,,variant column: prespecified_s8 (Fig. 3) and submitted_s7 (as computed for the submitted appendix)
Appendix F,table,Bundle-to-Object-Counting within-scene coupling,generated,tables/tableF_bundle_coupling_text.csv,,
Appendix F,table,Responder-controlled lift (two-way scene + responder FE),generated,tables/tableF_responder_controlled_lift_text.csv,,subset column: all responders and models-only (human baseline dropped)
Appendix F,table,Per-responder marginal lift with cell sizes and exclusions,generated,tables/tableF_per_responder_lift_text.csv,,
Appendix F,table,"Bundle coupling, scene versus scene+responder demeaned",generated,tables/tableF_bundle_coupling_twoway_text.csv,,
Table 6,table,All-pairs McNemar significance on Object Counting,generated,tables/table6_mcnemar_object_counting_text.csv,,
Figure 18,table,Within-structure paired camera effects per task,generated,tables/figF18_camera_within_structure_text.csv,,paired within-structure test with BH-FDR; supersedes the unpaired camera_effect_table variant
